人员,季度,单位
B1,第一季度,A1派出所
B2,第一季度,A9派出所
B3,第一季度,A7派出所
B4,第一季度,A8派出所
c01,第一季度,A0派出所
c01,第二季度,A0派出所
c01,第三季度,A0派出所
c01,第四季度,A0派出所
c02,第二季度,A0派出所
c02,第三季度,A0派出所
c02,第四季度,A0派出所
c11,第二季度,A1派出所
c11,第三季度,A1派出所
c11,第四季度,A1派出所
c12,第一季度,A1派出所
c12,第二季度,A1派出所
c12,第三季度,A1派出所
c12,第四季度,A1派出所
c21,第一季度,A2派出所
c21,第二季度,A2派出所
c21,第三季度,A2派出所
c21,第四季度,A2派出所
c22,第一季度,A2派出所
c22,第二季度,A2派出所
c22,第三季度,A2派出所
c22,第四季度,A2派出所
c31,第一季度,A3派出所
c31,第二季度,A3派出所
c31,第三季度,A3派出所
c31,第四季度,A3派出所
c41,第一季度,A4派出所
c41,第二季度,A4派出所
c41,第三季度,A4派出所
c41,第四季度,A4派出所
c51,第一季度,A5派出所
c51,第二季度,A5派出所
c51,第三季度,A5派出所
c51,第四季度,A5派出所
c52,第一季度,A6派出所
c52,第二季度,A5派出所
c52,第四季度,A5派出所
c61,第一季度,A6派出所
c61,第二季度,A6派出所
c61,第三季度,A6派出所
c61,第四季度,A6派出所
c62,第二季度,A6派出所
c62,第三季度,A6派出所
c62,第四季度,A6派出所
c71,第二季度,A7派出所
c71 ,第三季度,A7派出所
c71     ,第四季度,A7派出所
c72,第一季度,A7派出所
c72,第二季度,A7派出所
c72,第三季度,A7派出所
c72,第四季度,A7派出所
c81,第二季度,A8派出所
c81,第三季度,A8派出所
c81,第四季度,A8派出所
c82,第二季度,A8派出所
c82,第三季度,A8派出所
c82,第四季度,A8派出所
c91,第一季度,A10派出所
c91,第二季度,A9派出所
c91,第三季度,A9派出所
