Index,现有警力数,预测_OLS,预测_OLS_ceil,预测_工作负荷,预测_工作负荷_ceil,预测_Ridge,预测_Ridge_ceil,采用方法,预测警力数,预测警力_取整,缺编人数D,缺编比例,缺编_工作负荷,冗余_工作负荷,绩效P,k_i
A0,38,38.00000000000003,39,10.25838600300318,11,36.05341893257054,37,workload,10.25838600300318,11,0.0,0.0,0.0,27.0,0.6562781177073016,0.1718609411463492
A1,48,48.00000000000009,49,56.8109792903451,57,45.11008022105924,46,workload,56.8109792903451,57,9.0,0.15789473684210525,9.0,0.0,0.8727972518058458,0.19996501046071347
A2,56,56.0,56,32.39036061481808,33,54.50883322174823,55,workload,32.39036061481808,33,0.0,0.0,0.0,23.0,1.0,0.0
A4,41,41.00000000000003,42,11.16840411665392,12,37.43205514132169,38,workload,11.16840411665392,12,0.0,0.0,0.0,29.0,0.6417684900670871,0.17911575496645643
A5,37,36.99999999999978,37,36.148768470119315,37,38.16114180042405,39,workload,36.148768470119315,37,0.0,0.0,0.0,0.0,0.7036950921640194,0.1481524539179903
A6,44,43.99999999999997,44,29.143125,30,41.41139000645049,42,workload,29.143125,30,0.0,0.0,0.0,14.0,0.8546908351047828,0.07265458244760858
A7,43,43.00000000000002,44,61.13985330718416,62,41.76946728085146,42,workload,61.13985330718416,62,19.0,0.3064516129032258,19.0,0.0,0.6941129466308942,0.4408223145633408
A8,38,38.00000000000009,39,21.700431928655597,22,42.611772734321995,43,workload,21.700431928655597,22,0.0,0.0,0.0,16.0,0.7474367767062661,0.12628161164686696
A3,27,26.999999999999915,27,16.028728128268824,17,28.964245340851086,29,workload,16.028728128268824,17,0.0,0.0,0.0,10.0,0.5418013075012839,0.22909934624935807
A10,25,24.999999999999975,25,17.90972154872717,18,22.26857258633392,23,workload,17.90972154872717,18,0.0,0.0,0.0,7.0,0.7045231949926951,0.14773840250365244
A9,13,13.000000000000124,14,17.677127762380067,18,21.70902273406731,22,workload,17.677127762380067,18,5.0,0.2777777777777778,5.0,0.0,0.7043485428184512,0.22358330434835016
