Index,区域面积,行业场所数,常住人口,暂住人口,寄住人口,平均110警情数,平均刑事案件立案数,平均治安案件查处数,现有警力数,常住人口_2016,暂住人口_2017,寄住人口_2018,常住人口_2017,暂住人口_2018,寄住人口_2019,常住人口_2018,暂住人口_2019,常住人口_2019,常住人口_年均,暂住人口_年均,寄住人口_年均,is_scenic_spot,总工作负荷时长
A0,5.5,133,48659.0,5309.0,3478.0,10853,678.3333333,619.0,38,49305.0,9937.0,3478.0,49126.0,5309.0,3566.0,48659.0,7089.0,48335.0,48856.25,7445.0,3522.0,0,2579.200000023
A1,2.8,115,37761.0,7593.0,1505.0,12679,1043.666667,1176.666667,48,38987.0,6915.0,1505.0,38476.0,7593.0,2381.0,37761.0,8098.0,37248.0,38118.0,7535.333333333333,1943.0,0,14283.61905509
A2,2.9,244,86417.0,18647.0,9853.0,31590,2567.333333,1207.333333,56,89760.0,18968.0,9853.0,88301.0,18647.0,10454.0,86417.0,17164.0,84388.0,87216.5,18259.666666666668,10153.5,0,8143.700000568
A4,2.89,93,84681.0,9410.0,2896.0,10956,940.6666667,682.0,41,93673.0,8994.0,2896.0,89659.0,9410.0,3243.0,84681.0,7580.0,78746.0,86689.75,8661.333333333334,3069.5,0,2808.0000001460003
A5,4.7,79,44617.0,15088.0,7286.0,8383,736.3333333,601.6666667,37,48123.0,14493.0,7286.0,46364.0,15088.0,8439.0,44617.0,16994.0,43911.0,45753.75,15525.0,7862.5,0,9088.6523096
A6,17.8,110,85964.0,29403.0,12715.0,11342,1255.0,876.3333333,44,89011.0,27688.0,12715.0,87404.0,29403.0,13977.0,85964.0,27858.0,84974.0,86838.25,28316.333333333332,13346.0,0,7327.268439564001
A7,21.0,141,46302.0,32165.0,9382.0,12222,856.3333333,416.0,43,43877.0,28963.0,9382.0,45075.0,32165.0,9762.0,46302.0,19625.0,47776.0,45757.5,26917.666666666668,9572.0,0,15372.000001280001
A8,6.9,82,52105.0,23250.0,16143.0,14965,1174.0,1173.333333,38,49112.0,37485.0,16143.0,50854.0,23250.0,18418.0,52105.0,17671.0,53443.0,51378.5,26135.333333333332,17280.5,0,5455.999999854001
A3,2.8,46,0.0,0.0,0.0,5006,822.0,1038.333333,27,,,,,,,,,,,,,1,4029.999999678
A10,30.0,12,0.0,0.0,0.0,2022,238.3333333,77.66666667,25,,,,,,,,,,,,,1,4502.926074858749
A9,5.33,1,0.0,0.0,0.0,1012,184.3333333,76.0,13,,,,,,,,,,,,,1,4444.446515445
