2018年三季度治安副所长业绩排序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,重点人员经营管控2分,维护安全工作1分,涉稳人员管控3分,涉稳人员信息采集率和涉稳警情信息合格率最高的单位各得0.4分，其它按比例得分；人员管控战果加分0.2分,重点人员管控2.5分,居住证信息采集比对0.5分，百警比中数最高得0.5分，其它按比例得分,旅馆住宿登记信息比对0.5分，完成率最高得0.5分，其它按比例得分,网吧上网登记信息比对0.5分，完成率最高得0.5分，其它按比例得分,巡逻盘查信息采集比对0.5分，百警比中数最高得0.5分，其它按比例得分,人口管理1分,境外人员管控1分,吸毒人员查处1分，达到目标数得0.8分，不完成的按比例得分，百警查处数最高的单位得0.2分，其它按比例得分,年内各单位110接报盗窃、诈骗、抢夺、抢劫和敲诈勒索等5类侵财警情占110接报的违法犯罪警情的比重，不高于前两年平均值得1分，每升降1个百分点分别加减0.1分，加满0.5分为止，扣完1分为止,社区防范1分：①社区侵财警情控制0.5分,社区防范1分：②社区保安力量建设0.5分,巡逻盘查抓获在逃或四类侵财作案成员每人得0.04分，累计不超0.4分。超出按百警抓获最多0.1分，其余按比例得分。巡逻规范检查0.5分，不规范扣0.05分。重大案事件处置处置得当每起加0.05分，加满0.2分为止。四类盘查重点数据合格率100%得0.4分；90%得0.35分；80%得0.3分；70%得0.25分；60%得0.2分；低于60%不得分。,①“六类侵财案件”发案控制（0.3分）②“六类侵财案件”立案占比（0.3分）,入所审查人数最高的得0.2分，其它按比例得分,以各单位管控重点人员中的吸毒人员因侵财刑事案件被外区抓获的前两年平均数为控制目标，达到或低于目标值的得0.5分，每高1个百分点扣0.02分，扣完0.5分为止,"社区民警每周完成20户得1分少一户扣0.05分,新入户登记人员未入户调查每发现一起扣0.02分，扣完1分为止","电话回访
熟悉率最高得1分，其它按比例得分",微信办户口最高得1分，其它按比例得分,社会治安满意度电话回访最高得1分，其它按比例得分,社区侵财性案件零发案或者发案后100%回访的得1分。其余单位按本派出所实际回访数/应回访数×1分计分,短信平台发送安全防范信息，每周发送一次，完成既得0.5分，每少一次扣0.1分。一次不发都不得分,社区民警“站高峰”在岗率0.5分，全部在位的得基本分0.5分，发现不在位的每次扣0.1分,情报平台测试（临控）扣分,养犬登记办证0.2分，达到目标的单位得分0.2分，每低一个百分点扣0.01分,一般违规养犬行为查处0.5分，完成率最高得0.5分，其它单位按比例得分,全市公安机关基础工作信息采集会战4分,“微警”建设考评1.5分,派出所消防监督管理0.5分,侵财犯罪重点治理0.5分,非法集资专项整治行动1.2分,打击传销专项行动1.2分,食药环节会战2分,涉稳处置工作加分,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本项最高得分,,2,1,3,0.8,2.5,0.5,0.5,0.5,0.5,1,1,1,1.5,0.5,0.5,1.6,0.6,0.2,0.5,1,1,1,1,1,0.5,0.5,,0.2,0.5,4,1.5,0.5,0.5,1.2,1.2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0派出所,c01,不分管,不分管,1.23,0.8,1.48,0.016,不分管,不分管,不分管,1,0.39,不分管,1.5,0.5,0.116,不分管,不分管,不分管,不分管,1,0.96,0.49,0.99,1,0.5,0.5,不分管,不分管,不分管,3.68,1.463,0.35,不分管,不分管,不分管,不分管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0派出所,c02,不分管,不分管,不分管,不分管,不分管,不分管,0.157,0.137,0.02,不分管,不分管,1,1.5,不分管,不分管,1.54,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,0.18,0.5,不分管,不分管,不分管,不分管,不分管,不分管,不分管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1派出所,c11,不分管,不分管,不分管,不分管,不分管,不分管,0.22,0.5,不分管,不分管,不分管,1,1.5,0.5,0.222,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,0.15,0.437,不分管,不分管,不分管,不分管,不分管,不分管,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1派出所,c12,不分管,不分管,1.23,0.8,0.98,0.183,不分管,不分管,0.316,0.95,0.49,不分管,1.5,不分管,不分管,1.54,不分管,不分管,不分管,1,0.97,0.46,0.97,1,0.5,0.5,不分管,不分管,不分管,3.1,1.35,0.35,不分管,不分管,不分管,不分管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2派出所,c21,不分管,不分管,不分管,不分管,不分管,不分管,0.5,0.243,0.133,不分管,不分管,不分管,1.5,不分管,不分管,1.55,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2派出所,c22,不分管,不分管,1.2,0.8,1.4,0.21,不分管,不分管,不分管,0.9,0.49,0.34,1.5,0.5,0.228,不分管,不分管,不分管,0.5,1,0.98,0.73,0.97,1,0.5,0.5,不分管,0,0.419,3.28,1.463,0.35,不分管,不分管,不分管,不分管,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3派出所,c31,不分管,不分管,不分管,0.8,不分管,0.02,0.479,0.014,0.139,不分管,不分管,1,1.5,不分管,不分管,1.53,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,1.35,不分管,不分管,不分管,不分管,不分管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A4派出所,c41,不分管,不分管,不分管,0.8,1.96,0.162,0.215,0.01,0.204,0.95,0.49,不分管,1.5,0.5,0.287,1.56,0.529,不分管,0.5,1,0.97,0.51,0.98,1,0.5,0.5,不分管,0.2,0.498,3.39,1.35,0.45,0.03,不分管,不分管,不分管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A5派出所,c51,不分管,不分管,1.23,0.8,1.71,0.172,不分管,不分管,不分管,1,0.58,不分管,1.5,0.5,0.28,不分管,不分管,不分管,不分管,1,0.98,0.48,1,1,0.5,0.5,不分管,不分管,不分管,3.72,1.35,0.45,不分管,不分管,不分管,不分管,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
