2018年四季度治安副所长业绩排序,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,涉稳重点人员管控3分,维稳人员信息采集率和涉稳警情信息合格率最高的单位各得0.4分，其它按比例得分；人员管控战果加分0.2分,重点人员管控2.5分,居住证信息采集比对1分，百警比中数最高得1分,旅馆住宿登记信息比对1分，完成率最高得1分,网吧上网登记信息比对1分，完成率最高得1分,巡逻盘查信息采集比对1分,人口管理1分,境外人员管控1分,年内各单位110接报盗窃、诈骗、抢夺、抢劫和敲诈勒索等5类侵财警情占110接报的违法犯罪警情的比重，不高于前两年平均值得1分，每升降1个百分点分别加减0.1分，加满0.5分为止，扣完1分为止,社区侵财警情控制得分,社区保安力量建设得分,巡逻盘查抓获在逃或四类侵财作案成员每人得0.04分，累计不超0.4分。超出按百警抓获最多0.1分，其余按比例得分。巡逻规范检查0.5分，不规范扣0.05分。重大案事件处置处置得当每起加0.05分，加满0.2分为止。,涉警人员信息采集1.5分,"场所行业从业人员信息采集
1.5分",①“六类侵财案件”发案控制（0.3分）②“六类侵财案件”立案占比（0.3分）,入所审查人数最高的得0.2分，其它按比例得分,"社区民警每周完成20户入户调查得1.5分，每少一户扣0.05分,新入户登记人员，未入户调查的，每发现一起扣0.02分，扣完1.5分为止","电话回访
熟悉率最高得1分，其它按比例得分",微信办户口最高得0.5分，其它按比例得分,社会治安满意度电话回访最高得1.5分，其它按比例得分,社区侵财性案件零发案或者发案后100%回访的得1分。其余单位按本派出所实际回访数/应回访数×1分计分,短信平台发送安全防范信息，每周发送一次，完成既得0.5分，每少一次扣0.1分。一次不发都不得分,养犬登记办证0.2分，达到目标的单位得分0.2分，每低一个百分点扣0.01分,一般违规养犬行为查处0.5分，完成率最高得0.5分，其它单位按比例得分,大型犬、烈性犬查处0.1分，完成目标得0.1分，对110和12345接报涉犬警情进行反查，发现有违规养犬举报未改正的扣0.1分，扣完0.5分为止,“微警务”建设考评1.5分,派出所消防监督管理0.5分,侵财犯罪重点治理0.5分,非法集资专项整治行动1.2分,单位户籍化管理3分
本项最高得分,,3,1,2.5,1,1,1,1,1,1,1.5,0.5,0.5,1.4,1.5,1.5,0.6,0.2,1.5,1,0.5,1.5,1,0.5,0.2,0.5,0.1,1.5,0.5,0.5,1.6,3
A0派出所,c01,1.5,0.8,1.28,0.158,不分管,不分管,不分管,1,0.38,1.43,0.5,0.361,不分管,1.6,不分管,不分管,不分管,1.5,0.93,0.23,1.5,1,0.5,不分管,不分管,不分管,1.36,0.5,不分管,不分管,2.31
A0派出所,c02,不分管,不分管,不分管,不分管,0.15,0.036,0.02,不分管,不分管,1.43,不分管,0.358,1.4,不分管,1.34,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,0.2,0.456,0.1,不分管,不分管,不分管,不分管,不分管
A1派出所,c11,不分管,不分管,不分管,不分管,0.442,0.625,不分管,不分管,不分管,1.5,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,0.2,0.433,0,不分管,不分管,不分管,不分管,不分管
A1派出所,c12,2.2,0.8,1.24,0.211,不分管,不分管,0.209,1,0.55,1.5,0.5,不分管,1.28,1.6,1.5,不分管,不分管,1.5,0.97,0.21,1.5,1,0.5,不分管,不分管,不分管,1.5,0.5,不分管,不分管,2.4
A2派出所,c21,不分管,不分管,不分管,不分管,0.342,0.393,0.202,不分管,不分管,1.5,不分管,不分管,1.343,不分管,1.39,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管
A2派出所,c22,1.34,0.81,2.5,1,不分管,不分管,不分管,1,0.54,1.5,0.5,0.5,不分管,1.5,不分管,不分管,不分管,1.5,0.97,0.4,1.5,1,0.5,0.15,0.454,0.1,1.4,0.49,不分管,不分管,2.87
A3派出所,c31,不分管,0.8,不分管,0.109,0.41,0.034,0.449,不分管,不分管,1.5,不分管,不分管,1.336,1.4,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,不分管,0.089,0,1.29,不分管,不分管,不分管,不分管
A4派出所,c41,2,0.8,不分管,0.327,0.327,0.223,0.096,1,0.46,1.5,0.5,0.5,0.89,1.5,1.42,0.533 ,不分管,1.5,0.95,0.13,1.5,1,0.5,0.2,0.5,0.1,1.32,0.5,0.05,0,2.28
A5派出所,c51,2.2,0.81,0.92,0.156,不分管,不分管,不分管,1,0.74,1.5,0.5,0.327,不分管,1.5,不分管,不分管,不分管,1.5,1,0.21,1.5,1,0.5,不分管,不分管,不分管,1.27,0.5,不分管,不分管,3
